หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
15,"เต็นท์บริเวณหน้าประตูค่าย ร.2 พัน 2 รอ.(ตรงข้ามวัดป่าทรงคุณ)",ดงพระราม,14.086856,101.3762908,798,560,70.18,33,26,270,0,0,0,8,91,44,10,58,6,8
16,"เต็นท์บริเวณหน้าประตูค่าย ร.2 พัน 2 รอ.(ตรงข้ามวัดป่าทรงคุณ)",ดงพระราม,14.086856,101.3762908,1016,820,80.71,254,21,129,0,0,0,10,177,149,13,45,6,12
17,"เต็นท์บริเวณหน้าประตูค่าย ร.2 พัน 2 รอ.(ตรงข้ามวัดป่าทรงคุณ)",ดงพระราม,14.086856,101.3762908,640,474,74.06,8,66,144,0,0,0,4,90,44,43,59,6,3
18,"เต็นท์บริเวณหน้าประตูค่าย ร.2 พัน 2 รอ.(ตรงข้ามวัดป่าทรงคุณ)",ดงพระราม,14.086856,101.3762908,461,346,75.05,5,36,123,0,0,0,1,60,52,22,32,8,4
1,"เต็นท์ บริเวณองค์การบริหารส่วนตำบลรอบเมือง",รอบเมือง,14.0477079,101.3455722,562,384,68.33,10,21,128,0,0,0,1,30,124,23,38,5,3
2,"เต็นท์ บริเวณองค์การบริหารส่วนตำบลรอบเมือง",รอบเมือง,14.057595,101.3613447,646,507,78.48,13,20,176,0,0,0,2,61,131,30,67,4,2
3,"เต็นท์ บริเวณองค์การบริหารส่วนตำบลรอบเมือง",รอบเมือง,14.0735883,101.3236609,702,494,70.37,17,20,148,0,0,0,3,65,129,36,62,4,7
4,"ศาลาการเปรียญวัดเรไร",รอบเมือง,14.0541107,101.3318679,562,462,82.21,8,8,118,0,0,0,3,19,245,12,43,1,4
5,"โดมวัดบางคาง",รอบเมือง,14.0534606,101.3374379,230,179,77.83,1,4,31,0,0,0,1,17,105,4,15,0,1
6,"ศาลาการเปรียญวัดบางตาล่า",รอบเมือง,14.0448371,101.3376343,437,355,81.24,16,12,97,0,0,0,0,106,50,28,38,2,3
7,"โดมหน้าศาลาธรรมสังเวชวัดเทวบุตร",รอบเมือง,14.0804042,101.3533371,286,240,83.92,2,7,35,0,0,0,0,48,128,3,15,1,1
8,"ศูนย์การเรียนรู้บ้านหนองพังพวย หมู่ที่ 8",รอบเมือง,14.0509306,101.3539547,541,422,78.00,6,30,149,0,0,0,3,81,40,48,56,3,6
9,"ศูนย์การเรียนรู้บ้านหนองพังพวย หมู่ที่ 8",รอบเมือง,14.0579696,101.3606539,543,421,77.53,8,31,161,0,0,0,2,79,19,59,45,3,7
10,"โรงรถโครงการส่งน้ำและบำรุงรักษาบางพลวง",รอบเมือง,14.0456573,101.3713945,544,401,73.71,7,15,133,0,0,0,6,90,63,32,49,1,3
1,"ศาลาการเปรียญวัดโบสถ์",วัดโบสถ์,14.010882,101.329557,438,327,74.66,14,11,70,0,0,0,0,14,153,8,52,2,1
2,"ศาลาอบรมประชาชนวัดโบสถ์",วัดโบสถ์,14.0096142,101.302514,450,334,74.22,14,8,83,0,0,0,3,19,158,9,35,3,2
3,"ศาลาการเปรียญวัดต้นสะตือ",วัดโบสถ์,14.0269491,101.2951161,252,192,76.19,8,1,24,0,0,0,1,8,114,8,24,3,1
4,"ศาลาการเปรียญวัดใหม่นาบุญ",วัดโบสถ์,14.0469227,101.3084233,461,334,72.45,19,3,70,0,0,0,0,5,195,4,36,0,0
5,"ศาลาการเปรียญวัดสันทรีย์",วัดโบสถ์,14.0548941,101.2882303,616,501,81.33,39,9,115,0,0,0,3,18,249,11,48,4,5
1,"ศาลาเอนกประสงค์ (SML) หมู่ที่  1",บางกระเบา,13.9760448,101.2096081,148,107,72.30,2,2,28,0,0,0,1,0,25,4,42,3,0
2,"ศาลาเอนกประสงค์ (SML) หมู่ที่  4",บางกระเบา,13.9779298,101.2215976,499,385,77.15,8,3,98,0,0,0,1,2,193,3,73,2,2
3,"ศาลาเอนกประสงค์ (SML) หมู่ที่ 5",บางกระเบา,14.0032883,101.1754479,180,159,88.33,3,0,15,0,0,0,0,2,117,2,18,2,0
4,"ศาลาการเปรียญวัดบางกระเบา",บางกระเบา,13.9842345,101.2086527,550,414,75.27,13,6,98,0,0,0,0,7,202,15,59,0,3
5,"อาคารจำหน่ายผลิตภัณฑ์และสิ้นค้าชุมชนเทศบาล(ทิศตะวันตก)",บางกระเบา,14.0024383,101.1725579,713,530,74.33,24,21,164,0,0,0,1,3,197,16,88,9,4
5,"โรงเรียนไผ่แถวอนุสรณ์",บางกระเบา,14.0100262,101.1844551,358,278,77.65,8,10,69,0,0,0,0,0,105,3,75,1,6
6,"ศาลาเอนกประสงค์ (SML) หมู่ที่ 9",บางกระเบา,13.9868131,101.1985274,397,335,84.38,16,3,68,0,0,0,0,0,195,4,45,3,1
1,"ศาลาเอนกประสงค์ (SML) หมู่ที่ 1",บางปลาร้า,13.8915594,101.308254,171,131,76.61,4,3,19,0,0,0,0,1,98,1,3,0,0
2,"ศาลาการเปรียญวัดวังขอน",บางปลาร้า,13.9136905,101.3291479,516,407,78.88,14,4,85,0,0,0,3,7,219,4,65,1,4
3,"ศาลาเอนกประสงค์วัดบางปลาร้า",บางปลาร้า,13.9169182,101.3090737,338,240,71.01,10,5,35,0,0,0,0,2,152,3,32,0,1
4,"ศาลาการเปรียญวัดนิคมพัฒนา",บางปลาร้า,13.9217257,101.3157707,563,459,81.53,20,12,131,0,0,0,0,4,219,5,65,0,2
5,"องค์การบริหารส่วนตำบลบางปลาร้า",บางปลาร้า,13.9233246,101.3059168,241,188,78.01,5,5,61,0,0,0,3,2,81,3,22,3,3
1,"หอประชุมโรงเรียนชิตใจชื่น (ทิศเหนือ)",บ้านสร้าง,13.9950369,101.2239528,525,384,73.14,12,13,133,0,0,0,5,7,145,21,37,7,3
1,"ที่ทำการผู้ใหญ่บ้าน หมู่ 2",บ้านสร้าง,13.9725632,101.2407839,672,508,75.60,14,9,143,0,0,0,3,4,233,24,66,7,4
2,"หอประชุมโรงเรียนชิตใจชื่น (ทิศใต้)",บ้านสร้าง,13.9950369,101.2239528,445,352,79.10,14,12,101,0,0,0,4,11,157,9,34,6,2
2,"ศาลาการเปรียญวัดมูลเหล็ก",บ้านสร้าง,14.0240212,101.2076195,390,320,82.05,12,4,72,0,0,0,1,2,181,18,28,1,1
3,"ศาลาการเปรียญวัดบ้านสร้าง",บ้านสร้าง,14.0189987,101.2375249,770,566,73.51,15,6,123,0,0,0,2,5,292,29,72,16,4
3,"ศาลาการเปรียญวัดทวีชลขันธ์",บ้านสร้าง,14.0458774,101.2439115,531,380,71.56,8,6,61,0,0,0,0,2,258,7,35,2,1
4,"อาคารจำหน่ายผลิตภัณฑ์และสิ้นค้าชุมชนเทศบาล (ทิศตะวันออก)",บ้านสร้าง,14.0180839,101.240106,134,105,78.36,5,1,21,0,0,0,0,3,53,5,12,4,0
4,"ศาลาประชาคม หมู่ที่ 9",บ้านสร้าง,14.0545775,101.2401766,446,364,81.61,13,11,79,0,0,0,1,3,196,8,48,2,3
5,"ศาลาการเปรียญวัดท่ากระทุ่ม",บ้านสร้าง,13.9856047,101.242163,187,141,75.40,5,0,24,0,0,0,1,0,89,12,9,0,1
6,"โรงเรียนประชุมเขตศึกษา",บ้านสร้าง,13.9703023,101.2440403,163,129,79.14,0,1,34,0,0,0,0,8,58,2,23,3,0
1,"อาคารเรียนโรงเรียนเทศบาล 2 (วัดหลวงปรีชากูล) ด้านทิศเหนือ",หน้าเมือง,14.0510083,101.3642979,492,382,77.64,13,16,127,0,0,0,2,91,86,20,25,0,0
2,"อารคารเรียนโรงเรียนเทศบาล 2 (วัดหลวงปรีชากูล) ด้านทิศใต้",หน้าเมือง,14.0510083,101.3642979,456,336,73.68,8,19,92,0,0,0,3,79,63,28,32,2,6
3,"อาคารอเนกประสงค์ 95 ปี โรงเรียนปราจิณราษฎรอำรุง(ด้านทิศตะวันออก)",หน้าเมือง,14.051163,101.3734085,570,458,80.35,8,17,141,0,0,0,1,100,86,53,46,2,3
4,"อาคารอเนกประสงค์ 95 ปี โรงเรียนปราจิณราษฎรอำรุง(ด้านทิศตะวันตก)",หน้าเมือง,14.051163,101.3734085,681,555,81.50,8,33,171,0,0,0,8,112,102,53,54,6,5
5,"อาคารอเนกประสงค์โรงเรียนมารีวิทยา",หน้าเมือง,14.0666811,101.3753148,570,421,73.86,8,16,116,0,0,0,3,89,108,28,43,4,2
6,"อาคารอเนกประสงค์วัดแก้วพิจิตร",หน้าเมือง,14.0550982,101.3723497,590,430,72.88,7,13,134,0,0,0,1,150,65,15,39,1,2
7,"อาคารตรวจคนเข้าเมือง (ตม.)  (ด้านทิศตะวันออก)",หน้าเมือง,14.0545348,101.3682132,744,539,72.45,10,20,155,0,0,0,2,178,78,32,55,1,5
8,"อาคารตรวจคนเข้าเมือง (ตม.) (ด้านทิศตะวันตก)",หน้าเมือง,14.0509459,101.3804784,693,516,74.46,13,22,154,0,0,0,2,128,99,43,44,3,5
9,"อาคารอเนกประสงค์โรงเรียนเทศบาล 6 (วัดศรีมงคล)(ด้านทิศตะวันออก)",หน้าเมือง,14.0589085,101.3577888,624,459,73.56,12,17,121,0,0,0,3,66,160,24,49,3,3
10,"อาคารอเนกประสงค์โรงเรียนเทศบาล 6 (วัดศรีมงคล)(ด้านทิศตะวันตก)",หน้าเมือง,14.0589085,101.3577888,541,398,73.57,7,25,135,0,0,0,6,61,44,37,64,4,10
11,"อาคารเรียนโรงเรียนจงหมิน",หน้าเมือง,14.0529171,101.365156,326,230,70.55,6,8,90,0,0,0,0,42,35,14,33,1,1
12,"อาคารอเนกประสงค์โรงเรียนจงหมิน (ด้านทิศตะวันออก)",หน้าเมือง,14.0529171,101.365156,359,256,71.31,5,6,90,0,0,0,1,54,60,11,23,1,2
13,"อาคารอเนกประสงค์โรงเรียนจงหมิน (ด้านทิศตะวันตก)",หน้าเมือง,14.0529171,101.365156,311,208,66.88,11,5,75,0,0,0,1,33,47,15,18,1,2
14,"อาคาเรียนโรงเรียนเทศบาล 1 ชั้นล่าง (ด้านทิศตะวันออก)",หน้าเมือง,14.0428191,101.3860051,629,480,76.31,19,12,145,0,0,0,1,146,75,26,44,2,6
15,"อาคารเรียนโรงเรียนเทศบาล 1 ชั้นล่าง (ด้านทิศตะวันตก)",หน้าเมือง,14.0600551,101.3812103,501,360,71.86,13,13,117,0,0,0,2,88,59,35,29,2,2
16,"อาคารอเนกประสงค์โรงเรียนเทศบาล 1",หน้าเมือง,14.0592826,101.3538178,393,285,72.52,7,11,87,0,0,0,2,52,66,25,31,1,3
17,"อาคารเรียนโรงเรียนเทศบาล 4",หน้าเมือง,14.0489168,101.3732379,585,448,76.58,7,11,152,0,0,0,4,79,109,28,53,2,2
18,"หอประชุมพุทธธรรมกิจ (ศาลเซียนซือ)",หน้าเมือง,14.0694209,101.3753099,466,340,72.96,13,8,96,0,0,0,3,53,95,24,38,2,3
19,"อาคารโรงอาหารโรงเรียนเทศบาล 5 (บดินทร์เดชาประสิทธิ์)",หน้าเมือง,14.0662963,101.3796406,456,349,76.54,16,6,89,0,0,0,2,108,89,11,26,0,1
20,"อาคารเรียนโรงเรียนเทศบาล 5 (บดินทร์เดชาประสิทธิ์) (ชั้นล่าง)",หน้าเมือง,14.0662963,101.3796406,621,491,79.07,14,15,133,0,0,0,1,206,67,12,33,4,4
21,"อาคารอเนกประสงค์โรงเรียนเทศบาล 5 (บดินทร์เดชาประสิทธิ์)(ด้านทิศตะวันออก)",หน้าเมือง,14.0662963,101.3796406,745,555,74.50,18,15,162,0,0,0,0,169,90,40,48,7,4
22,"อาคารอเนกประสงค์โรงเรียนเทศบาล 5 (บดินทร์เดชาประสิทธิ์)(ด้านทิศตะวันตก)",หน้าเมือง,14.0662963,101.3796406,587,470,80.07,19,20,131,0,0,0,1,158,64,33,42,0,2
23,"อาคารอเนกประสงค์โรงเรียนสุธีวรราษฎร์รังสฤษฏ์(ด้านทิศตะวันออก)",หน้าเมือง,14.0726485,101.3724133,580,443,76.38,10,16,134,0,0,0,2,140,57,27,51,4,0
24,"อาคารอเนกประสงค์โรงเรียนสุธีวรราษฎร์รังสฤษฏ์(ด้านทิศตะวันตก)",หน้าเมือง,14.0726485,101.3724133,682,511,74.93,15,17,163,0,0,0,2,131,87,26,56,8,4
1,"ศาลาการเปรียญวัดท้าวอู่ทอง",โคกไม้ลาย,14.1346003,101.2920836,772,586,75.91,37,20,161,0,0,0,4,36,232,25,56,4,10
2,"โรงเรียนมัธยมวัดป่ามะไฟ",โคกไม้ลาย,14.1381577,101.2913241,603,429,71.14,22,14,123,0,0,0,4,19,163,29,46,4,3
3,"ศาลาการเปรียญวัดบึง",โคกไม้ลาย,14.1305922,101.2968535,402,331,82.34,8,8,101,0,0,0,7,51,101,4,43,3,4
4,"ศาลาการเปรียญวัดหนองชะอม",โคกไม้ลาย,14.150687,101.3272848,498,394,79.12,19,16,131,0,0,0,6,11,124,23,57,3,4
5,"ศาลาการเปรียญวัดคชสารมุนี",โคกไม้ลาย,14.1375793,101.2994043,1087,829,76.26,32,30,282,0,0,0,6,15,232,61,151,4,7
1,"อาคารอเนกประสงค์หมู่ที่ 2 บ้านหัวสุ่ม",ดงขี้เหล็ก,14.1716493,101.4481931,797,640,80.30,34,25,197,0,0,0,3,7,246,23,94,4,6
2,"ศาลาการเปรียญวัดภักดีสุนทราวาส",ดงขี้เหล็ก,14.0740262,101.423275,500,410,82.00,19,12,117,0,0,0,2,10,173,1,70,5,0
3,"ศาลาการเปรียญวัดหนองทะเล",ดงขี้เหล็ก,14.0934455,101.4252576,658,505,76.75,18,10,199,0,0,0,1,11,193,6,58,3,5
4,"ศาลาการเปรียญวัดศรีมงคล(ดงบัง)",ดงขี้เหล็ก,14.075965,101.4261793,885,711,80.34,18,14,273,0,0,0,1,68,195,20,114,2,2
5,"ศาลาการเปรียญวัดหนองจวง",ดงขี้เหล็ก,14.1171396,101.4193728,1072,877,81.81,40,33,285,0,0,0,3,45,289,40,126,7,6
6,"ศาลาการเปรียญวัดนิโครธาวาส",ดงขี้เหล็ก,14.1279506,101.4294398,939,753,80.19,44,29,292,0,0,0,8,14,254,26,73,3,4
7,"ศาลาการเปรียญวัดรัตนรังษี (ขอนขว้าง)",ดงขี้เหล็ก,14.1363008,101.4485744,678,496,73.16,26,21,200,0,0,0,0,15,118,18,88,4,6
8,"ศาลาการเปรียญวัดรัตนรังษี (ขอนขว้าง)",ดงขี้เหล็ก,14.1451765,101.4643007,747,536,71.75,20,31,244,0,0,0,5,12,94,30,85,4,7
9,"ศาลาการเปรียญวัดหนองปื๊ด",ดงขี้เหล็ก,14.1945443,101.4390885,947,791,83.53,25,18,310,0,0,0,5,21,288,25,87,4,7
10,"ศาลาการเปรียญวัดสุนทรราษฎร์ศรัทธาธรรม",ดงขี้เหล็ก,14.1673321,101.4472354,895,670,74.86,35,21,253,0,0,0,4,15,219,30,77,4,7
11,"ศาลาการเปรียญวัดคุ้มเจริญ",ดงขี้เหล็ก,14.1194496,101.4508879,563,450,79.93,14,13,140,0,0,0,3,14,159,15,88,1,2
1,"ศาลาประชาคม หมู่ที่ 1 ต.ไผ่ชะเลือด",ไผ่ชะเลือด,13.9311299,101.3714748,265,193,72.83,9,0,42,0,0,0,4,0,114,4,18,0,0
2,"ศาลาประชาคม หมูที่ 2 ต.ไผ่ชะเลือด",ไผ่ชะเลือด,13.9311299,101.3714748,421,310,73.63,12,10,45,0,0,0,3,3,202,8,23,2,1
3,"ศาลาประชาคม หมู่ที่  3 ต.ไผ่ชะเลือด",ไผ่ชะเลือด,13.9311299,101.3714748,437,318,72.77,8,3,53,0,0,0,1,0,218,4,31,0,0
4,"ศาลาประชาคม หมู่ที่  4 ต.ไผ่ชะเลือด",ไผ่ชะเลือด,13.9311299,101.3714748,337,259,76.85,11,4,53,0,0,0,0,4,167,0,18,0,2
1,"โรงสีข้าวชุมชน หมู่ที่ 1",กระทุ่มแพ้ว,13.9134066,101.3406676,336,270,80.36,15,5,52,0,0,0,0,1,139,1,51,3,2
2,"โรงเรียนบ้านนาฝุ่น",กระทุ่มแพ้ว,13.900002,101.343612,171,141,82.46,2,2,24,0,0,0,0,2,98,2,10,0,0
3,"ศาลาการเปรียญวัดกระทุ่มแพ้ว",กระทุ่มแพ้ว,13.8747692,101.3348638,443,350,79.01,10,5,73,0,0,0,2,4,194,4,58,0,0
4,"ที่ทำการผู้ใหญ่บ้าน หมู่ที่ 5",กระทุ่มแพ้ว,13.893714,101.3270487,207,174,84.06,8,2,39,0,0,0,1,2,98,4,20,0,0
1,"อาคารอเนกประสงค์ หมู่ที่  2",บางบริบูรณ์,14.0377806,101.4288499,485,379,78.14,19,8,89,0,0,0,2,57,168,5,30,0,1
2,"เต็นท์บริเวณ หมู่ที่ 3",บางบริบูรณ์,14.0312417,101.4377849,351,307,87.46,6,6,66,0,0,0,0,11,187,12,14,2,3
3,"ศาลาประชาคม หมู่ที่ 5",บางบริบูรณ์,14.0476809,101.4152093,179,130,72.63,2,4,27,0,0,0,0,4,66,2,21,0,2
