หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
3,"ศาลาการเปรียญวัดโคกปีบ",โคกปีบ,13.8925515,101.4014305,425,286,67.29,16,10,83,0,0,0,2,51,49,13,59,1,0
4,"โรงเรียนอนุบาลศรีมโหสถ",โคกปีบ,13.8921325,101.4015672,407,314,77.15,16,14,102,0,0,0,1,46,56,21,51,5,2
4,"ศาลาการปรียญวัดศรีมโหสถ",โคกปีบ,13.8659237,101.4225592,398,321,80.65,8,2,70,0,0,0,1,14,142,2,79,1,0
5,"ศาลากลางบ้านวัดเก่า",โคกปีบ,13.8956804,101.3982676,484,354,73.14,12,13,86,0,0,0,2,76,56,0,99,3,4
6,"เต้นท์บริเวณสวนสาธารณะวัดเก่า",โคกปีบ,13.8814223,101.4124903,461,327,70.93,9,13,102,0,0,0,3,54,55,18,67,2,4
7,"อาคารตลาดสดเทศบาลตำบลโคกปีบ",โคกปีบ,13.8752681,101.3991587,527,429,81.40,22,10,105,0,0,0,2,97,99,14,76,1,3
8,"ศาลาเอนกประสงค์วัดม่วงขาวแก้วพิกุล",โคกปีบ,13.8926705,101.381941,441,345,78.23,15,16,108,0,0,0,3,75,61,12,51,2,0
9,"ศาลาธรรมสังเวชวัดม่วงขาวแก้วพิกุล",โคกปีบ,13.8866098,101.4030223,452,372,82.30,7,9,119,0,0,0,4,101,67,15,46,2,1
10,"อาคารเอนกประสงค์โรงเรียนวัดต้นโพธิ์ศรีมหาโพธิ",โคกปีบ,13.886204,101.405997,247,190,76.92,12,1,54,0,0,0,0,31,50,13,25,1,3
11,"ศาลาธรรมสังเวชวัดหนองสะแก",โคกปีบ,13.8675302,101.4493495,440,337,76.59,14,7,75,0,0,0,1,71,102,0,66,0,1
1,"อาคารโรงเรียนวัดสระข่อย",โคกไทย,13.8623014,101.4206855,562,443,78.83,17,7,117,0,0,0,0,5,236,3,58,0,0
2,"อาคารเอนกประสงค์โรงเรียนวัดสระข่อย",โคกไทย,13.8623014,101.4206855,557,460,82.59,20,4,140,0,0,0,0,6,220,7,56,3,2
3,"ศาลาเอนกประสงค์โรงเรียนวัดแสงสว่าง",โคกไทย,13.8432528,101.4175514,388,324,83.51,9,6,72,0,0,0,1,3,174,6,52,0,2
4,"ศาลาศาลปู่ตา",โคกไทย,13.8399463,101.4739483,613,457,74.55,17,5,110,0,0,0,1,7,284,10,49,1,1
5,"ศาลาธรรมสังเวชวัดหนองเกตุ",โคกไทย,13.8558899,101.4095755,610,488,80.00,18,10,113,0,0,0,0,12,249,8,74,2,2
6,"อาคารโรงเรียนบ้านโป่งตะเคียน",โคกไทย,13.8217002,101.4924755,551,421,76.41,20,3,121,0,0,0,0,1,141,12,111,4,4
7,"โดมบริเวณโรงเรียนบ้านโป่งตะเคียน (ด้านทิศตะวันออก)",โคกไทย,13.8217002,101.4924755,557,454,81.51,16,3,117,0,0,0,2,4,190,11,94,1,3
8,"โดมบริเวณโรงเรียนบ้านโป่งตะเคียน (ด้านทิศตะวันตก)",โคกไทย,13.8217002,101.4924755,547,438,80.07,13,14,197,0,0,0,0,3,66,11,127,4,3
9,"ศาลาประชาคม หมู่ที่  6",โคกไทย,13.8375436,101.4837992,235,196,83.40,7,0,43,0,0,0,1,2,102,3,35,1,1
10,"ศาลาเอนกประสงค์โรงเรียนบ้านโคกพนมดี",โคกไทย,13.8486744,101.4434094,602,491,81.56,29,4,126,0,0,0,1,4,196,12,112,2,5
11,"โรงอาหารโรงเรียนบ้านโคกพนมดี",โคกไทย,13.8449248,101.4834085,595,490,82.35,16,5,157,0,0,0,1,11,196,10,89,1,2
1,"ศาลาการเปรียญวัดพิกุลวนาราม",บางพลวง,14.0100685,101.2992116,603,433,71.81,13,11,84,0,0,0,2,8,249,18,43,2,1
2,"ศาลาการเปรียญวัดหัวไผ่",บางพลวง,14.0438012,101.2626051,732,554,75.68,18,12,125,0,0,0,3,10,277,18,80,5,4
3,"ศาลาเอนกประสงค์ หมู่ที่ 4",บางพลวง,14.0128122,101.2717524,341,260,76.25,8,5,65,0,0,0,1,2,128,12,36,0,3
4,"โรงเรียนบ้านคลองบางไซ",บางพลวง,13.9783659,101.3178479,582,444,76.29,18,3,75,0,0,0,0,11,267,14,48,5,1
